Energy :  -2.7909E+04

 sample of final configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
    162 -3.97550000E+00 -2.17170000E+00 -1.12440000E+00  1.25247750E+03  2.60238555E+04  1.46572813E+04
    163 -5.84220000E+00 -6.90980000E+00 -3.45040000E-01 -4.17706054E+04  1.62845951E+04 -3.11565990E+03
    164 -6.25520000E+00 -6.53570000E+00 -1.17540000E+00  1.78471632E+04 -1.44424355E+04  2.74193714E+04
    165 -6.46480000E+00 -6.77750000E+00  4.26250000E-01  2.58303918E+04 -4.31389643E+03 -2.55300719E+04
    166  1.60940000E+00 -6.25120000E+00  6.67770000E+00  1.80867289E+04  2.59634493E+04  2.88937193E+04
    167  2.21090000E+00 -6.49940000E+00  7.43710000E+00 -2.22354227E+04  6.97586842E+03 -2.86911391E+04
    168  1.44230000E+00 -5.26540000E+00  6.69280000E+00  6.07837810E+03 -3.09809910E+04 -4.41226125E+03
    169 -4.79620000E+00 -1.12580000E+00  7.77090000E+00  1.96085144E+04 -2.59169671E+02  3.72420934E+04
    170 -5.28640000E+00 -1.00630000E+00 -8.56290000E+00  1.46267879E+04 -4.36670523E+03 -3.15813769E+04
    171 -3.82250000E+00 -1.25910000E+00  7.95550000E+00 -3.64174403E+04  4.90201295E+03 -8.22288630E+03
    172 -4.13330000E+00  5.10830000E-01 -3.92780000E+00  3.64116858E+04  8.85463186E+03 -8.15660326E+03
    173 -3.92140000E+00  1.37980000E+00 -4.37490000E+00 -8.91280980E+03 -2.98507288E+04  1.35891563E+04
    174 -3.28350000E+00  2.57960000E-02 -3.72120000E+00 -3.00394493E+04  1.58190916E+04 -7.21600070E+03
    175 -7.66450000E+00 -3.61070000E+00 -1.05380000E+00 -1.49385328E+04  1.46242735E+04  2.69780232E+04
    176 -7.39440000E+00 -3.73270000E+00 -9.87850000E-02 -9.68402202E+03  2.45892171E+03 -2.81951215E+04
    177 -8.44100000E+00 -2.98250000E+00 -1.10350000E+00  2.65584128E+04 -2.16602919E+04  4.11270445E+03
    178  5.48840000E+00 -5.21820000E+00  5.54240000E-01 -1.68915247E+04  3.89946998E+04 -6.73253315E+02
    179  4.53860000E+00 -4.90690000E+00  5.86950000E-01  3.18107537E+04 -1.06147358E+04  1.88634597E+03
    180  6.09890000E+00 -4.42630000E+00  5.38700000E-01 -1.98360110E+04 -3.02578736E+04  7.39782193E+02
    181  1.95070000E+00  3.34150000E+00  8.96250000E-01  6.96040059E+03  2.51502872E+04 -3.45633648E+04
    182  2.63640000E+00  3.15460000E+00  1.92740000E-01 -2.34131398E+04  2.94068882E+03  2.63005335E+04
    183  1.35520000E+00  4.08530000E+00  5.92720000E-01  1.61913365E+04 -2.69305634E+04  1.06077857E+04
    184  4.48330000E+00  6.84310000E+00  4.35820000E+00  2.11438449E+04 -4.21456407E+04 -7.52490650E+03
    185  4.05010000E+00  6.10670000E+00  3.83850000E+00  1.30514574E+04  2.57238675E+04  1.82471734E+04
    186  5.39870000E+00  6.55770000E+00  4.64200000E+00 -3.15463932E+04  1.07797622E+04 -8.85490210E+03
    187 -1.38150000E+00 -6.53810000E+00  3.75800000E+00  1.91942158E+03  3.47595949E+04  1.56440502E+04
    188 -1.59340000E+00 -6.29000000E+00  4.70320000E+00  6.50723232E+03 -1.04955131E+04 -2.94501294E+04
    189 -1.27550000E+00 -5.70790000E+00  3.21070000E+00 -4.35905693E+03 -2.32152976E+04  1.47780875E+04
    190  4.61960000E+00  3.68690000E+00  6.94930000E+00  2.62566961E+04  2.37439445E+04  1.64629652E+04
    191  5.15790000E+00  4.39950000E+00  6.49940000E+00 -1.79851002E+04 -2.37900269E+04  1.33142929E+04
    192  4.77060000E+00  3.72810000E+00  7.93700000E+00 -2.71665473E+03 -4.49309805E+03 -2.98985670E+04
    193 -3.49530000E+00 -1.33590000E+00 -6.77050000E+00  3.10442768E+04  3.29160091E+04  2.55046384E+03
    194 -3.33030000E+00 -5.98360000E-01 -7.42540000E+00 -6.74760105E+03 -2.55861363E+04  2.23871917E+04
    195 -2.89520000E+00 -1.22000000E+00 -5.97910000E+00 -2.21970023E+04 -5.24193854E+03 -2.47407376E+04
    196  2.16430000E+00 -3.60190000E+00  6.19770000E+00  1.97314770E+04  2.27972274E+04 -3.34282139E+04
    197  1.82270000E+00 -2.72500000E+00  5.85970000E+00  1.02961379E+04 -2.96160564E+04  1.46941603E+04
    198  3.00730000E+00 -3.84010000E+00  5.71540000E+00 -3.02682515E+04  5.51134572E+03  1.94032539E+04
    199 -1.79560000E+00  7.61080000E+00 -4.37950000E+00 -3.21353772E+04 -1.86483908E+03 -3.06266091E+04
    200 -2.33850000E+00  6.79970000E+00 -4.59720000E+00  2.21335215E+04  2.91473754E+04  9.22793124E+03
    201 -2.02680000E+00  8.34770000E+00 -5.01470000E+00  1.02883223E+04 -2.23945458E+04  2.02432241E+04
    202 -3.43500000E+00  2.50400000E+00 -5.77830000E+00 -1.76682505E+04  3.38702026E+04  2.30629219E+04
    203 -3.06290000E+00  2.87610000E+00 -4.92790000E+00 -9.41152961E+03 -1.39662170E+04 -2.70181774E+04
    204 -4.20190000E+00  3.06910000E+00 -6.08250000E+00  2.42192337E+04 -2.02164068E+04  8.38478801E+03
    205  5.07220000E+00 -3.31390000E+00 -3.33150000E+00  4.16801673E+03 -2.38303490E+04 -3.67295423E+04
    206  4.39180000E+00 -3.58120000E+00 -4.01390000E+00  2.42357211E+04  9.98594839E+03  2.81541177E+04
    207  5.95980000E+00 -3.70550000E+00 -3.57380000E+00 -2.55516727E+04  1.26217756E+04  1.09309928E+04
    208 -2.59360000E+00  4.51670000E+00  8.02310000E+00  9.21731308E+03 -3.36486688E+04 -2.79766407E+04
    209 -3.29140000E+00  4.08820000E+00  7.44900000E+00  2.03422291E+04  1.55113849E+04  2.17349014E+04
    210 -1.73450000E+00  4.01240000E+00  7.93670000E+00 -3.12337966E+04  2.10415529E+04  4.47991222E+03
    211  7.83230000E-02 -3.31030000E+00 -5.03030000E+00  3.30476981E+04 -1.04092620E+04  2.44918808E+04
    212  9.17090000E-01 -2.78850000E+00 -4.87460000E+00 -2.88647791E+04 -1.57962720E+04 -4.54913040E+03
    213  1.19990000E-01 -4.16930000E+00 -4.52000000E+00 -3.99163269E+03  3.00674835E+04 -1.81829532E+04
    214  3.53990000E+00 -3.29770000E+00 -6.44710000E+00  1.68969624E+04 -3.91410887E+04  1.93388319E+04
    215  4.45390000E+00 -3.62700000E+00 -6.68420000E+00 -3.25956329E+04  1.29375010E+04  4.72621371E+03
    216  3.07090000E+00 -3.98520000E+00 -5.89270000E+00  1.44093528E+04  2.46182242E+04 -2.08655562E+04
    217 -5.65880000E+00  4.20050000E+00  3.67840000E+00  3.67453629E+04 -1.68297343E+04 -3.01475056E+01
    218 -4.75520000E+00  4.62760000E+00  3.64320000E+00 -3.20758671E+04 -1.49721305E+04 -7.45292604E+02
    219 -5.56130000E+00  3.20740000E+00  3.61450000E+00 -2.76229082E+03  2.68365441E+04  1.23275317E+03
    220 -6.65570000E+00  9.87310000E-01 -2.57160000E+00  3.67524078E+04 -1.87000681E+04 -3.66350234E+03
    221 -6.52260000E+00  7.60960000E-02 -2.96140000E+00 -6.36020363E+03  3.24158580E+04  1.36384853E+04
    222 -5.77760000E+00  1.34690000E+00 -2.25600000E+00 -3.19729475E+04 -1.15766598E+04 -1.15185424E+04
    223 -2.79600000E+00  9.09430000E-01 -8.33720000E+00  2.14267112E+04  5.93130339E+03  3.74458398E+04
    224 -3.22450000E+00  1.28770000E+00 -7.51660000E+00  1.37685016E+04 -9.16886945E+03 -2.86017361E+04
    225 -1.80280000E+00  9.01520000E-01 -8.22170000E+00 -3.32123972E+04  1.65291330E+03 -4.07549465E+03
    226 -7.25100000E+00 -2.95500000E+00  4.50850000E+00 -2.82401020E+04 -2.89380491E+04  9.96365673E+03
